"ville;CP;Latitude ville;Longitude ville"
"Chevry-Cossigny;77173;48.72417;2.65806"
"Chevry-en-Sereine;77710;48.25278;2.94361"
"Choisy-en-Brie;77320;48.75889;3.21944"
"Citry;77730;48.96806;3.24083"
"Claye-Souilly;77410;48.94333;2.68861"
"Clos-Fontaine;77370;48.60722;3.01722"
"Cocherel;77440;49.02083;3.10194"
"Collégien;77090;48.83833;2.67139"
"Combs-la-Ville;77380;48.66528;2.55167"
"Compans;77290;48.99472;2.66444"
"Conches-sur-Gondoire;77600;48.85583;2.71528"
"Condé-Sainte-Libiaire;77450;48.89694;2.83194"
"Congis-sur-Thérouanne;77440;49.00611;2.97889"
"Coubert;77170;48.67139;2.69778"
"Couilly-Pont-aux-Dames;77860;48.88556;2.85972"
"Coulombs-en-Valois;77840;49.06917;3.12778"
"Coulommes;77580;48.89083;2.93111"
"Coulommiers;77120;48.81667;3.08500"
"Coupvray;77700;48.89250;2.79389"
"Courcelles-en-Bassée;77126;48.40944;3.05472"
"Courchamp;77560;48.63778;3.28722"
"Courpalay;77540;48.64750;2.95889"
"Courquetaine;77390;48.67694;2.74722"
"Courtacon;77560;48.69611;3.29250"
"Courtomer;77390;48.65389;2.90333"
"Courtry;77181;48.91806;2.60361"
"Coutençon;77154;48.47055;2.99694"
"Coutevroult;77580;48.86306;2.85222"
"Crécy-la-Chapelle;77580;48.85750;2.91194"
"Crégy-lès-Meaux;77124;48.97944;2.87694"
"Crèvecœur-en-Brie;77610;48.75389;2.90778"
"Crisenoy;77390;48.59722;2.74556"
"Croissy-Beaubourg;77183;48.82944;2.66000"
"la Croix-en-Brie;77370;48.59333;3.07528"
"Crouy-sur-Ourcq;77840;49.09028;3.07694"
"Cuisy;77165;49.01944;2.77389"
"Dagny;77320;48.71778;3.17278"
"Dammarie-les-Lys;77190;48.52722;2.64000"
"Dammartin-en-Goële;77230;49.05333;2.67944"
"Dammartin-sur-Tigeaux;77163;48.81750;2.92333"
"Dampmart;77400;48.88667;2.73583"
"Darvault;77140;48.27056;2.73611"
"Dhuisy;77440;49.03944;3.16139"
"Diant;77940;48.28083;2.99306"
"Donnemarie-Dontilly;77520;48.47583;3.12722"
"Dormelles;77130;48.31583;2.90139"
"Doue;77510;48.86555;3.16472"
"Douy-la-Ramée;77139;49.06611;2.88250"
"Échouboulains;77830;48.46472;2.94611"
"les Écrennes;77820;48.50444;2.85833"
"Égligny;77126;48.42694;3.12083"
"Égreville;77620;48.17556;2.87278"
"Émerainville;77184;48.81250;2.62028"
"Esbly;77450;48.90667;2.81250"
"Esmans;77940;48.34917;2.97694"
"Étrépilly;77139;49.03472;2.93222"
"Everly;77157;48.46639;3.25083"
"Évry-Grégy-sur-Yerre;77166;48.65278;2.63500"
"Faremoutiers;77515;48.79972;2.99778"
"Favières;77220;48.76306;2.77528"
"Faÿ-lès-Nemours;77167;48.23250;2.68583"
"Féricy;77133;48.45944;2.80139"
"Férolles-Attilly;77150;48.73222;2.62833"
"Ferrières-en-Brie;77164;48.82306;2.70833"
"la Ferté-Gaucher;77320;48.78250;3.30528"
"la Ferté-sous-Jouarre;77260;48.95028;3.12750"
"Flagy;77940;48.31167;2.92194"
"Fleury-en-Bière;77930;48.45111;2.54917"
"Fontaine-Fourches;77480;48.41222;3.39556"
"Fontaine-le-Port;77590;48.48611;2.76389"
"Fontainebleau;77300;48.40805;2.69944"
"Fontains;77370;48.52583;3.00278"
"Fontenailles;77370;48.55639;2.95556"
"Fontenay-Trésigny;77610;48.70750;2.86417"
"Forfry;77165;49.05722;2.84889"
"Forges;77130;48.41833;2.96111"
"Fouju;77390;48.58556;2.77806"
"Fresnes-sur-Marne;77410;48.93750;2.74111"
"Frétoy;77320;48.70389;3.19889"
"Fromont;77760;48.25472;2.50278"
"Fublaines;77470;48.93750;2.93639"
"Garentreville;77890;48.23556;2.54917"
"Gastins;77370;48.62944;3.02167"
"la Genevraye;77690;48.31972;2.74667"
"Germigny-l'Évêque;77910;48.99194;2.94528"
"Germigny-sous-Coulombs;77840;49.06361;3.15972"
"Gesvres-le-Chapitre;77165;49.04389;2.85222"
"Giremoutiers;77120;48.84306;3.03056"
"Gironville;77890;48.18583;2.52861"
"Gouaix;77114;48.48444;3.29556"
